V1,V2,V3
-30,68,-235.086471557617
-29.933110367893,68,-213.436477661133
-29.866220735786,68,-199.526473999023
-29.7993311036789,68,-211.896469116211
-29.7324414715719,68,-217.726470947266
-29.6655518394649,68,-235.076477050781
-29.5986622073579,68,-260.591735839844
-29.5317725752508,68,-282.841735839844
-29.4648829431438,68,-312.331726074219
-29.3979933110368,68,-333.801727294922
-29.3311036789298,68,-325.271728515625
-29.2642140468227,68,-308.571746826172
-29.1973244147157,68,-300.851745605469
-29.1304347826087,68,-286.431732177734
-29.0635451505017,68,-291.543792724609
-28.9966555183947,68,-262.453796386719
-28.9297658862876,68,-221.893798828125
-28.8628762541806,68,-151.283798217773
-28.7959866220736,68,-108.183807373047
-28.7290969899666,68,-121.303802490234
-28.6622073578595,68,-131.353805541992
-28.5953177257525,68,-153.413803100586
-28.5284280936455,68,-167.694976806641
-28.4615384615385,68,-201.874984741211
-28.3946488294314,68,-216.874984741211
-28.3277591973244,68,-206.124984741211
-28.2608695652174,68,-219.384979248047
-28.1939799331104,68,-241.954986572266
-28.1270903010033,68,-279.944976806641
-28.0602006688963,68,-325.014984130859
-27.9933110367893,68,-359.2451171875
-27.9264214046823,68,-397.845123291016
-27.8595317725753,68,-456.205139160156
-27.7926421404682,68,-499.76513671875
-27.7257525083612,68,-536.945129394531
-27.6588628762542,68,-564.825134277344
-27.5919732441472,68,-595.215148925781
-27.5250836120401,68,-585.935119628906
-27.4581939799331,68,-580.424743652344
-27.3913043478261,68,-565.554748535156
-27.3244147157191,68,-538.414733886719
-27.257525083612,68,-510.354736328125
-27.190635451505,68,-474.584747314453
-27.123745819398,68,-457.464752197266
-27.056856187291,68,-407.634735107422
-26.9899665551839,68,-378.874755859375
-26.9230769230769,68,-339.605804443359
-26.8561872909699,68,-306.915802001953
-26.7892976588629,68,-289.465789794922
-26.7224080267559,68,-263.385803222656
-26.6555183946488,68,-245.805786132812
-26.5886287625418,68,-260.215789794922
-26.5217391304348,68,-283.285797119141
-26.4548494983278,68,-298.235778808594
-26.3879598662207,68,-305.736114501953
-26.3210702341137,68,-309.146118164062
-26.2541806020067,68,-321.466125488281
-26.1872909698997,68,-340.136138916016
-26.1204013377926,68,-357.996124267578
-26.0535117056856,68,-370.056121826172
-25.9866220735786,68,-369.886138916016
