V1,V2,V3
-30,67,-254.396865844727
-29.933110367893,67,-232.466857910156
-29.866220735786,67,-226.806869506836
-29.7993311036789,67,-237.436859130859
-29.7324414715719,67,-255.386871337891
-29.6655518394649,67,-265.566864013672
-29.5986622073579,67,-258.82861328125
-29.5317725752508,67,-259.5986328125
-29.4648829431438,67,-255.3486328125
-29.3979933110368,67,-266.718627929688
-29.3311036789298,67,-294.798614501953
-29.2642140468227,67,-309.588623046875
-29.1973244147157,67,-313.048614501953
-29.1304347826087,67,-295.728637695312
-29.0635451505017,67,-313.203887939453
-28.9966555183947,67,-329.413879394531
-28.9297658862876,67,-329.403900146484
-28.8628762541806,67,-329.513885498047
-28.7959866220736,67,-334.753875732422
-28.7290969899666,67,-325.123901367188
-28.6622073578595,67,-325.493896484375
-28.5953177257525,67,-338.553894042969
-28.5284280936455,67,-345.740783691406
-28.4615384615385,67,-341.640808105469
-28.3946488294314,67,-341.620788574219
-28.3277591973244,67,-345.32080078125
-28.2608695652174,67,-350.140808105469
-28.1939799331104,67,-341.82080078125
-28.1270903010033,67,-336.010803222656
-28.0602006688963,67,-330.980804443359
-27.9933110367893,67,-327.509552001953
-27.9264214046823,67,-351.779571533203
-27.8595317725753,67,-375.879547119141
-27.7926421404682,67,-381.319549560547
-27.7257525083612,67,-383.769561767578
-27.6588628762542,67,-378.009552001953
-27.5919732441472,67,-378.319549560547
-27.5250836120401,67,-380.579559326172
-27.4581939799331,67,-374.374389648438
-27.3913043478261,67,-369.634399414062
-27.3244147157191,67,-367.354400634766
-27.257525083612,67,-375.664398193359
-27.190635451505,67,-379.814392089844
-27.123745819398,67,-385.784393310547
-27.056856187291,67,-394.394378662109
-26.9899665551839,67,-409.474395751953
-26.9230769230769,67,-425.764709472656
-26.8561872909699,67,-440.804718017578
-26.7892976588629,67,-465.054718017578
-26.7224080267559,67,-503.614715576172
-26.6555183946488,67,-545.764709472656
-26.5886287625418,67,-575.434692382812
-26.5217391304348,67,-588.704711914062
-26.4548494983278,67,-599.694702148438
-26.3879598662207,67,-617.323181152344
-26.3210702341137,67,-639.793151855469
-26.2541806020067,67,-664.053161621094
-26.1872909698997,67,-690.083129882812
-26.1204013377926,67,-713.643127441406
-26.0535117056856,67,-733.47314453125
-25.9866220735786,67,-751.293151855469
-25.9197324414716,67,-770.76318359375
-25.8528428093645,67,-799.831726074219
-25.7859531772575,67,-834.891723632812
-25.7190635451505,67,-881.53173828125
-25.6521739130435,67,-927.341735839844
-25.5852842809365,67,-968.901733398438
-25.5183946488294,67,-1014.35174560547
-25.4515050167224,67,-1059.19177246094
-25.3846153846154,67,-1083.90173339844
-25.3177257525084,67,-1084.00952148438
-25.2508361204013,67,-1068.90954589844
-25.1839464882943,67,-1038.98950195312
-25.1170568561873,67,-1002.34954833984
-25.0501672240803,67,-946.879577636719
-24.9832775919732,67,-919.739562988281
-24.9163879598662,67,-886.909545898438
-24.8494983277592,67,-843.929565429688
-24.7826086956522,67,-782.968627929688
-24.7157190635452,67,-720.978637695312
-24.6488294314381,67,-665.588623046875
-24.5819397993311,67,-618.798645019531
-24.5150501672241,67,-581.608642578125
-24.4481605351171,67,-531.278625488281
-24.38127090301,67,-482.308654785156
-24.314381270903,67,-433.708648681641
-24.247491638796,67,-389.35498046875
-24.180602006689,67,-342.634979248047
-24.1137123745819,67,-293.484985351562
-24.0468227424749,67,-253.104995727539
-23.9799331103679,67,-224.124984741211
-23.9130434782609,67,-208.114990234375
-23.8461538461538,67,-194.244995117188
-23.7792642140468,67,-204.274993896484
-23.7123745819398,67,-210.625
