gcf_id,Category
NRPS_gcf_1168,NRPS
NRPS_gcf_1169,NRPS
NRPS_gcf_117,NRPS
NRPS_gcf_1170,NRPS
NRPS_gcf_1171,NRPS
NRPS_gcf_1172,NRPS
NRPS_gcf_1173,NRPS
NRPS_gcf_1174,NRPS
NRPS_gcf_1175,NRPS
NRPS_gcf_1176,NRPS
NRPS_gcf_1177,NRPS
NRPS_gcf_1178,NRPS
NRPS_gcf_1179,NRPS
NRPS_gcf_118,NRPS
NRPS_gcf_1180,NRPS
NRPS_gcf_1181,NRPS
NRPS_gcf_1182,NRPS
NRPS_gcf_1183,NRPS
NRPS_gcf_1184,NRPS
NRPS_gcf_1185,NRPS
NRPS_gcf_1186,NRPS
NRPS_gcf_1187,NRPS
NRPS_gcf_1188,NRPS
NRPS_gcf_1189,NRPS
NRPS_gcf_119,NRPS
NRPS_gcf_1190,NRPS
NRPS_gcf_1191,NRPS
NRPS_gcf_1192,NRPS
NRPS_gcf_1193,NRPS
NRPS_gcf_1194,NRPS
NRPS_gcf_1195,NRPS
NRPS_gcf_1196,NRPS
NRPS_gcf_1197,NRPS
NRPS_gcf_1198,NRPS
NRPS_gcf_1199,NRPS
NRPS_gcf_12,NRPS
NRPS_gcf_120,NRPS
NRPS_gcf_1200,NRPS
NRPS_gcf_1201,NRPS
NRPS_gcf_1202,NRPS
NRPS_gcf_1203,NRPS
NRPS_gcf_1204,NRPS
NRPS_gcf_1205,NRPS
NRPS_gcf_1206,NRPS
NRPS_gcf_1207,NRPS
NRPS_gcf_1208,NRPS
NRPS_gcf_1209,NRPS
NRPS_gcf_121,NRPS
NRPS_gcf_1210,NRPS
NRPS_gcf_1211,NRPS
NRPS_gcf_1212,NRPS
NRPS_gcf_1213,NRPS
NRPS_gcf_1214,NRPS
NRPS_gcf_1215,NRPS
NRPS_gcf_1216,NRPS
NRPS_gcf_1217,NRPS
NRPS_gcf_1218,NRPS
NRPS_gcf_1219,NRPS
NRPS_gcf_122,NRPS
NRPS_gcf_1220,NRPS
NRPS_gcf_1221,NRPS
NRPS_gcf_1222,NRPS
NRPS_gcf_1223,NRPS
NRPS_gcf_1224,NRPS
NRPS_gcf_1225,NRPS
NRPS_gcf_1226,NRPS
NRPS_gcf_1227,NRPS
NRPS_gcf_1228,NRPS
NRPS_gcf_1229,NRPS
NRPS_gcf_123,NRPS
NRPS_gcf_1230,NRPS
NRPS_gcf_1231,NRPS
NRPS_gcf_1232,NRPS
NRPS_gcf_1233,NRPS
NRPS_gcf_1234,NRPS
NRPS_gcf_1235,NRPS
NRPS_gcf_1236,NRPS
NRPS_gcf_1237,NRPS
NRPS_gcf_1238,NRPS
NRPS_gcf_1239,NRPS
NRPS_gcf_124,NRPS
NRPS_gcf_1240,NRPS
NRPS_gcf_1241,NRPS
NRPS_gcf_1242,NRPS
NRPS_gcf_1243,NRPS
NRPS_gcf_1244,NRPS
NRPS_gcf_1245,NRPS
NRPS_gcf_1246,NRPS
NRPS_gcf_1247,NRPS
NRPS_gcf_1248,NRPS
NRPS_gcf_1249,NRPS
NRPS_gcf_125,NRPS
NRPS_gcf_1250,NRPS
NRPS_gcf_1251,NRPS
NRPS_gcf_1252,NRPS
NRPS_gcf_1253,NRPS
NRPS_gcf_1254,NRPS
NRPS_gcf_1255,NRPS
NRPS_gcf_1256,NRPS
NRPS_gcf_1257,NRPS
NRPS_gcf_1258,NRPS
NRPS_gcf_1259,NRPS
NRPS_gcf_126,NRPS
NRPS_gcf_1260,NRPS
NRPS_gcf_1261,NRPS
NRPS_gcf_1262,NRPS
NRPS_gcf_1263,NRPS
NRPS_gcf_1264,NRPS
NRPS_gcf_1265,NRPS
NRPS_gcf_1266,NRPS
NRPS_gcf_1267,NRPS
NRPS_gcf_1268,NRPS
NRPS_gcf_1269,NRPS
NRPS_gcf_127,NRPS
NRPS_gcf_1270,NRPS
NRPS_gcf_1271,NRPS
NRPS_gcf_1272,NRPS
NRPS_gcf_1273,NRPS
NRPS_gcf_1274,NRPS
NRPS_gcf_1275,NRPS
NRPS_gcf_1276,NRPS
NRPS_gcf_1277,NRPS
NRPS_gcf_1278,NRPS
NRPS_gcf_1279,NRPS
NRPS_gcf_128,NRPS
NRPS_gcf_1280,NRPS
NRPS_gcf_1281,NRPS
NRPS_gcf_1282,NRPS
NRPS_gcf_1283,NRPS
NRPS_gcf_1284,NRPS
NRPS_gcf_1285,NRPS
NRPS_gcf_1286,NRPS
NRPS_gcf_1287,NRPS
NRPS_gcf_1288,NRPS
NRPS_gcf_1289,NRPS
NRPS_gcf_129,NRPS
NRPS_gcf_1290,NRPS
NRPS_gcf_1291,NRPS
NRPS_gcf_1292,NRPS
NRPS_gcf_1293,NRPS
NRPS_gcf_1294,NRPS
NRPS_gcf_1295,NRPS
NRPS_gcf_1296,NRPS
NRPS_gcf_1297,NRPS
NRPS_gcf_1298,NRPS
NRPS_gcf_1299,NRPS
NRPS_gcf_13,NRPS
NRPS_gcf_130,NRPS
NRPS_gcf_1300,NRPS
NRPS_gcf_1301,NRPS
NRPS_gcf_1302,NRPS
NRPS_gcf_1303,NRPS
NRPS_gcf_1304,NRPS
NRPS_gcf_1305,NRPS
NRPS_gcf_1306,NRPS
NRPS_gcf_1307,NRPS
NRPS_gcf_1308,NRPS
NRPS_gcf_1309,NRPS
NRPS_gcf_131,NRPS
NRPS_gcf_1310,NRPS
